               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.027487,            0.014762,            0.001349,             0.88003,             0.78177,             0.84054,              0.4515,            0.030949,           0.0078042,           0.0024802,            0.007129,            0.007129,            0.007129
                  60,            0.028565,            0.015149,          0.00099286,             0.90028,             0.78858,             0.84063,             0.44353,            0.031925,           0.0077054,           0.0022205,           0.0070795,           0.0070795,           0.0070795
                  61,             0.02802,            0.014812,           0.0010138,             0.88857,             0.75122,             0.84481,             0.44515,             0.03181,           0.0077883,           0.0015234,             0.00703,             0.00703,             0.00703
                  62,            0.027113,            0.014386,           0.0015951,             0.87338,             0.79717,             0.84311,              0.4625,            0.031243,           0.0079062,           0.0019223,           0.0069805,           0.0069805,           0.0069805
                  63,             0.02826,            0.015947,           0.0024294,             0.90745,             0.77231,             0.82603,             0.43366,            0.031405,           0.0083537,           0.0015375,            0.006931,            0.006931,            0.006931
                  64,            0.028783,            0.015732,           0.0017828,             0.87372,             0.77124,             0.80896,             0.36868,            0.034767,           0.0082942,           0.0051277,           0.0068815,           0.0068815,           0.0068815
                  65,            0.027317,            0.015143,           0.0013234,             0.89837,             0.82462,             0.86422,             0.44236,             0.03181,           0.0077036,          0.00059135,            0.006832,            0.006832,            0.006832
                  66,            0.027693,             0.01509,          0.00097864,             0.87634,             0.81046,             0.85381,             0.43118,            0.029951,            0.008098,           0.0023463,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026822,            0.014786,          0.00086698,             0.84598,             0.81574,             0.84344,             0.44424,            0.031149,            0.008157,           0.0019492,            0.006733,            0.006733,            0.006733
                  68,            0.027743,            0.014878,           0.0010063,             0.83243,             0.79735,             0.82062,             0.44434,            0.031119,           0.0080299,           0.0024156,           0.0066835,           0.0066835,           0.0066835
                  69,            0.028234,            0.014658,          0.00096211,             0.87089,             0.78401,             0.82943,             0.41971,            0.031963,           0.0082152,           0.0024899,            0.006634,            0.006634,            0.006634
                  70,            0.026332,             0.01404,          0.00081177,             0.84056,             0.81856,             0.84269,             0.45211,            0.031052,              0.0079,          0.00076419,           0.0065845,           0.0065845,           0.0065845
                  71,             0.02616,             0.01437,           0.0010282,             0.84938,              0.8032,             0.84455,             0.44647,            0.030604,           0.0076219,           0.0020848,            0.006535,            0.006535,            0.006535
                  72,            0.025742,            0.014229,           0.0012409,             0.89633,             0.85265,             0.87296,             0.46888,             0.02976,           0.0077511,           0.0017165,           0.0064855,           0.0064855,           0.0064855
                  73,            0.025888,             0.01412,           0.0013096,             0.87291,             0.82208,             0.83149,             0.48668,            0.029147,            0.007929,           0.0025024,            0.006436,            0.006436,            0.006436
                  74,            0.026655,            0.014056,           0.0010164,              0.8944,               0.807,             0.85015,             0.45947,            0.029863,            0.007872,           0.0021833,           0.0063865,           0.0063865,           0.0063865
                  75,            0.026269,            0.014139,          0.00080103,             0.86934,             0.82304,             0.86331,             0.45892,            0.031457,           0.0076775,           0.0017088,            0.006337,            0.006337,            0.006337
                  76,            0.026466,            0.014598,          0.00075337,              0.9274,             0.79212,             0.86578,             0.48677,            0.030438,           0.0076116,          0.00077349,           0.0062875,           0.0062875,           0.0062875
                  77,            0.026006,             0.01395,          0.00081091,             0.86938,              0.8533,             0.88367,             0.49291,            0.029895,           0.0072132,           0.0009748,            0.006238,            0.006238,            0.006238
